player.id,age
8959,40
259117,31
227672,30
142622,33
1159759,23
293519,30
907463,25
1142251,22
1019322,23
836705,27
794298,30
184661,31
1010231,23
799046,30
980623,24
1014286,25
327755,29
584722,29
40244,36
856076,28
48480,35
901882,25
1418623,20
990201,25
980628,23
991709,26
989801,26
220833,33
877452,30
333275,33
333373,32
1015261,25
546416,30
1105836,24
789453,35
973556,22
988656,24
986233,25
805427,35
883206,26
333261,30
339447,34
339135,33
840027,38
1546739,21
805137,29
788936,31
1015733,26
1167312,31
979861,26
994363,23
962012,26
151545,35
149663,31
759520,30
904897,24
795222,29
998247,25
917005,24
862967,27
910048,24
803033,28
252215,34
1153079,20
959805,25
100389,35
851596,27
171919,33
1012928,23
856739,26
959628,26
845798,28
893549,28
803039,27
138833,32
875136,27
360938,35
814594,27
825719,29
1064218,23
847030,28
1564180,18
1128530,25
835485,27
991421,26
1126569,22
1063767,25
961684,24
1638338,20
1605921,20
953995,30
1142675,21
359280,30
141967,37
847714,34
1143667,23
919484,27
1134470,24
1392829,25
359272,29
919793,33
1898148,21
877977,25
1002033,23
973437,25
1013842,29
831781,30
843754,28
593526,31
359226,29
1888002,20
2087085,19
1086223,22
971037,24
979315,23
1188191,22
1568123,20
930245,25
1131009,24
826201,27
1394342,22
858977,29
848287,26
978285,25
305282,35
191188,31
1030459,25
1110842,24
22209,35
934409,26
576384,28
933264,27
1031283,24
547410,27
793167,28
355174,28
309078,30
839956,26
1121923,21
1100952,22
1065216,23
228364,30
1030355,23
798176,29
879746,26
795154,27
1026541,25
1022374,23
280991,30
924973,27
1065989,24
800951,28
876599,26
838805,26
191210,31
827212,27
798583,27
941168,25
96538,33
859025,26
250737,31
818244,29
978838,24
996952,23
826643,27
996958,23
1154605,21
788027,28
979128,22
848276,29
1387161,21
164055,32
352370,30
879674,26
826215,27
974087,25
1130939,24
1142672,20
234148,35
791702,29
978728,28
1021272,24
965263,26
143334,32
834308,27
979232,24
1391251,20
1036269,22
1383695,24
804508,28
823941,26
1173223,23
1022820,28
796987,27
918517,25
572286,29
22596,37
561430,27
875360,27
542038,29
360718,31
1099794,28
319847,32
227894,31
980916,27
990408,26
832868,28
818406,29
889785,27
770253,31
1914576,17
944068,26
1172773,31
865500,27
192442,35
843114,29
1023088,23
1119345,21
892141,25
989236,26
850404,30
840519,30
15497,41
1638685,22
847151,28
757770,30
838629,29
905257,25
815637,28
1595162,23
795282,31
588618,39
822729,27
1187275,22
979480,24
1002837,24
879802,26
987650,24
1002524,24
1116571,23
937937,25
106456,36
1106546,21
881844,28
1431770,26
1464025,19
804770,28
923237,25
925484,30
978518,26
881848,29
925740,27
1145126,22
805465,28
1020197,23
1122552,23
1464642,21
138530,32
945798,26
827679,28
877994,26
1142703,21
994546,23
856714,27
966547,24
