isHome,shotType,goalType,situation,shootoutOrder,bodyPart,goalMouthLocation,xg,xgot,id,time,timeSeconds,incidentType,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.gender,player.sofascoreId,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.nameTranslation.ru,player.fieldTranslations.shortNameTranslation.ar,player.fieldTranslations.shortNameTranslation.ru,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalkeeper.name,goalkeeper.slug,goalkeeper.shortName,goalkeeper.position,goalkeeper.jerseyNumber,goalkeeper.userCount,goalkeeper.gender,goalkeeper.sofascoreId,goalkeeper.id,goalkeeper.fieldTranslations.nameTranslation.ar,goalkeeper.fieldTranslations.nameTranslation.bn,goalkeeper.fieldTranslations.nameTranslation.hi,goalkeeper.fieldTranslations.nameTranslation.ru,goalkeeper.fieldTranslations.shortNameTranslation.ar,goalkeeper.fieldTranslations.shortNameTranslation.bn,goalkeeper.fieldTranslations.shortNameTranslation.hi,goalkeeper.fieldTranslations.shortNameTranslation.ru,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,player.fieldTranslations.nameTranslation.bn,player.fieldTranslations.nameTranslation.hi,player.fieldTranslations.shortNameTranslation.bn,player.fieldTranslations.shortNameTranslation.hi,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,addedTime,match_id,goalkeeper.firstName,goalkeeper.lastName
True,miss,,assisted,,left-foot,right,0.062126409262419,0.0,7556435,7,386,shot,39,2314,386,Sarpreet Singh,Sarpreet,Singh,sarpreet-singh,S. Singh,M,10,1223,M,x38bft,822743,ساربريت سينغ,Сарприт Сингх,س. سينغ,С. Сингх,18.4,41.8,0,0,38.5,20.8,Mostafa Shobeir,mostafa-shobeir,M. Shobeir,G,31,25997.0,M,tdqpnk,1048378.0,مصطفى شوبير,মোস্তফা শোবের,मुस्तफा शोबैर,Мостафа Шобейр,م. شوبير,এম. শোবের,एम. शोबैर,М. Шобейр,41.8,18.4,61.5,0,61.5,79.2,সরপ্রীত সিং,सरप्रीत सिंह,এস. সিং,बी. हेनेन,,,,,,,15186827,,
False,block,,assisted,,left-foot,low-centre,0.044712103903294,0.0,7556433,6,346,shot,40,2354,346,Mohamed Salah,Mohamed,Salah,mohamed-salah,M. Salah,M,10,661627,M,MoSalah,159665,محمد صلاح,Мохамед Салах,م. صلاح,М. Салах,18.4,55.8,0,0,51.6,19.0,Max Crocombe,max-crocombe,M. Crocombe,G,15,214.0,M,sdcvu3,197904.0,ماكس كروكومب,ম্যাক্স ক্রোকম্ব,मैक्स क्रोकोम्बे,Макс Кроком,م. كروكومب,এম. ক্রোকোম্ব,एम. क्रोकोम्बे,М. Кроком,55.8,18.4,48.4,0,48.4,81.0,মোহাম্মদ সালাহ,मोहम्मद सलाह,এম. সালাহ,एम. सलाह,12.9,53.6,0.0,53.6,12.9,,15186827,Max,Crocombe
True,miss,,free-kick,,left-foot,close-left,0.034802205860615,0.0,7563311,90,5844,shot,1,456,444,Lionel Messi,,,lionel-messi,L. Messi,F,10,3019845,M,LM10,12994,ليونيل ميسي,Лионель Месси,ل. ميسي,Л. Месси,28.6,55.8,0,0,59.0,8.3,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,55.8,28.6,41.0,0,41.0,91.7,লিওনেল মেসি,लियोनेल मेसी,এল. মেসি,एल. मेसी,,,,,,8.0,15186502,Alexander,Schlager
True,goal,regular,fast-break,,left-foot,low-centre,0.20116738975048,0.93665927648544,7563309,90,5644,shot,1,656,244,Lionel Messi,,,lionel-messi,L. Messi,F,10,3019845,M,LM10,12994,ليونيل ميسي,Лионель Месси,ل. ميسي,Л. Месси,4.0,40.5,0,0,51.3,1.9,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,40.5,4.0,48.7,0,48.7,98.1,লিওনেল মেসি,लियोनेल मेसी,এল. মেসি,एल. मेसी,,,,,,5.0,15186502,Alexander,Schlager
True,save,,fast-break,,left-foot,low-left,0.15801201760769,0.0,7563308,90,5643,shot,1,657,243,Lionel Messi,,,lionel-messi,L. Messi,F,10,3019845,M,LM10,12994,ليونيل ميسي,Лионель Месси,ل. ميسي,Л. Месси,9.6,43.5,0,0,52.5,19.0,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,43.5,9.6,47.5,0,47.5,81.0,লিওনেল মেসি,लियोनेल मेसी,এল. মেসি,एल. मेसी,4.0,45.8,0.0,45.8,4.0,5.0,15186502,Alexander,Schlager
True,save,,fast-break,,left-foot,low-centre,0.39561778306961,0.25922229886055,7563307,90,5637,shot,1,663,237,Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,294194,M,LaArana,944656,جوليان ألفاريز,Хулиан Альварес,ج. ألفاريز,Х. Альварес,9.5,43.0,0,0,48.9,7.6,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,43.0,9.5,51.1,0,51.1,92.4,জুলিয়ান আলভারেজ,जूलियन अल्वारेज़,জে. আলভারেজ,जे. अल्वारेज़,6.6,45.1,0.0,45.1,6.6,4.0,15186502,Alexander,Schlager
False,miss,,set-piece,,head,close-left,0.08920868486166,0.0,7563305,90,5567,shot,1,733,167,Patrick Wimmer,,,patrick-wimmer,P. Wimmer,M,8,1310,M,snx56s,987504,باتريك ويمر,Патрик Виммер,ب. ويمر,П. Виммер,7.9,53.6,0,0,59.0,9.7,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,79285.0,M,EmiMartinez,158263.0,إيميليانو مارتينيز,এমিলিয়ানো মার্টিনেজ,एमिलियानो मार्टिनेज,Эмилиано Мартинес,إ. مارتينيز,ই. মার্টিনেজ,ई. मार्टिनेज,Э. Мартинес,53.6,7.9,41.0,0,41.0,90.3,প্যাট্রিক উইমার,पैट्रिक विमर,পি. উইমার,पी. विमर,,,,,,3.0,15186502,,
True,block,,regular,,right-foot,low-centre,0.07109821587801,0.0,7563261,86,5152,shot,5,248,2452,Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,156120,M,Enzo8,974505,إنزو فرنانديز,Энцо Фернандес,إ. فرنانديز,Э. Фернандес,14.5,50.3,0,0,49.3,19.0,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,50.3,14.5,50.7,0,50.7,81.0,এনজো ফার্নান্ডেজ,एन्ज़ो फर्नांडीज़,ই. ফার্নান্ডেজ,ई. फर्नांडीज़,12.5,50.4,0.0,50.4,12.5,,15186502,Alexander,Schlager
True,block,,assisted,,right-foot,low-centre,0.21133090555668,0.0,7563260,86,5149,shot,5,251,2449,Nicolás González,Nico,Gonzalez,nicolas-gonzalez,N. González,M,11,27571,M,nicoigonzalez,901325,نيكولاس غونزاليس,Николас Гонсалес,ن. غونزاليس,Н. Гонсалес,13.4,45.0,0,0,50.9,8.3,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,45.0,13.4,49.1,0,49.1,91.7,নিকোলাস গঞ্জালেজ,निकोलस गोंजालेज,এন. গঞ্জালেজ,एन. गोंजालेज,11.0,45.5,0.0,45.5,11.0,,15186502,Alexander,Schlager
True,miss,,corner,,head,close-right,0.071079395711422,0.0,7563202,73,4368,shot,18,1032,1668,Nicolás González,Nico,Gonzalez,nicolas-gonzalez,N. González,M,11,27571,M,nicoigonzalez,901325,نيكولاس غونزاليس,Николас Гонсалес,ن. غونزاليس,Н. Гонсалес,7.9,46.6,0,0,41.0,12.5,Alexander Schlager,alexander-schlager,A. Schlager,G,1,745.0,M,bcwjaq,282073.0,الكسندر شلاغر,আলেকজান্ডার শ্ল্যাগার,अलेक्जेंडर श्लेगर,Александр Шлагер,ا. شلاغر,এ. শ্ল্যাগার,ए. श्लेगर,А. Шлагер,46.6,7.9,59.0,0,59.0,87.5,নিকোলাস গঞ্জালেজ,निकोलस गोंजालेज,এন. গঞ্জালেজ,एन. गोंजालेज,,,,,,,15186502,Alexander,Schlager
